id;what;who;Gender;Category;Activity;Context;Birthday, place;sterbedatum_und_sterbeort;Zipcode;Street;Housenr;Location;District;made;art
512;;"Marlene Dietrich; Schauspielerin und Sängerin, NS-Gegnerin";f;Culture;Acting;NS opponent;27.12.1901, Schöneberg;06.05.1992, Paris;10785;Eichhornstraße;5 bis 6;Eichhornstraße Ecke Alte Potsdamer Straße, Marlene-Dietrichplatz vor dem Theater;Tiergarten;2000;Metalltafel mit schwarzer Inschrift
514;;"Otto Braun; Politiker, preussischer Ministerpräsident";m;History;Politician;Prussian;28.01.1872, Königsberg;15.12.1955, Schweiz;10785;Potsdamer Straße;35;Staatsbibliothek, vor dem Otto-Braun-Saal;Tiergarten;;Kupfertafel mit schwarzer Inschrift
4;;"Johannes Popitz; Politiker, Staatssekretär im Reichsfinanzministerium, NS-Widerstandskämpfer";m;History;Politician;NS resistance;02.12.1884, Leipzig;02.02.1945, Plötzensee;10117;Am Festungsgraben;1;Zwischen dem 2. und 3. Fenster links;Mitte;19.07.1994;KPM - Berliner Gedenktafel
517;;"Kurt Tucholsky; Journalist und Schriftsteller";m;Culture;Writing;Weimar;09.01.1890, Berlin;21.12.1935, Hindas, Schweden;10553;Rostocker Straße;32 b;Vorraum zur Bücherei;Moabit;;Bronzetafel
6;;"Wilhelm Krützfeld; preussischer Polizeibeamter";m;History;Military and Police;Synagogue;09.12.1880, Hornsdorf;31.10.1953, Berlin;10178;Oranienburger Straße;30;Synagoge, zwischen 2 Fenstern, rechts der Synagoge;Mitte;05.05.1995;Bronzetafel
518;;"Kurt Tucholsky; Journalist und Schriftsteller";m;Culture;Writing;Weimar;09.01.1890, Berlin;21.12.1935, Hindas, Schweden;10559;Lübecker Straße;13;Rechts vom Eingang (Geburtshaus);Moabit;;Bronzetafel
774;;"Carl Langhammer; Maler, VBK";m;Culture;Painting;;26.07.1868, Berlin;1943, Berlin;10785;Schöneberger Ufer;57;Linker Vorgarten am Bürgersteig;Tiergarten;01.06.2007;Metalltafel mit schwarzer Inschrift
263;;"Ludwig Ferdinand Meyer; Prof. Dr. med., jüdischer Kinderarzt";m;History;Doctor;Jewish;23.05.1879, Wiesbaden;1954, Jerusalem/Tel Aviv;13347;Reinickendorfer Straße;61;Haus 15, links neben dem Eingang des Verwaltungsgebäudes;Wedding;;Bronzetafel
519;;"Clara Grunwald; Lehrerin und Reformpädagogin, Gründerin von Montessori-Kinderheimen, NS-Verfolgte";f;Science and Research;Education;NS persecuted;11.06.1877, Mönchengladbach;04.1943, KZ Auschwitz-Birkenau;13347;Ruheplatzstraße;13;Ruheplatzstraße Ecke Schulstraße, links vom Eingang, Jugendamt;Wedding;31.10.1997;Bronzetafel
775;;"Constantin von Doppelmair (Doppelmeyer); russischer Militärattaché";m;History;Military and Police;;unbekannt;27.10.1871;10787;Gartenufer am Landwehrkanal;;Am Weg, Zaun zum Zoo;Tiergarten;1872;Steinmedaillon
