Gender,Category,Activity,Context,District,Material,Birthplace,Deathplace,Deathyear_nn,Birthyear_nn,Made_nn,Age_nn
f,Culture,Creative_Arts,NSresistance_persecuted,Tiergarten,Metall_Stahl,other,outside Germany,1992,1901,0,91
m,History,Politics_Administration,Prussian_times,Tiergarten,"Bronze, Messing, Kupfer",other,outside Germany,1955,1872,0,83
m,History,Politics_Administration,NSresistance_persecuted,Mitte,Porzellan,Leipzig,KZ or NS_capture,1945,1884,1994,61
m,Culture,Creative_Arts,NovemberRevolution_Weimar,Moabit,"Bronze, Messing, Kupfer",Berlin,outside Germany,1935,1890,0,45
m,History,Military_Police,NSresistance_persecuted,Mitte,"Bronze, Messing, Kupfer",other,Berlin,1953,1880,1995,73
m,Culture,Creative_Arts,NovemberRevolution_Weimar,Moabit,"Bronze, Messing, Kupfer",Berlin,outside Germany,1935,1890,0,45
m,Culture,Creative_Arts,no_specific_context,Tiergarten,Metall_Stahl,Berlin,Berlin,1943,1868,2007,75
m,History,Medical,Jewish,Wedding,"Bronze, Messing, Kupfer",other,outside Germany,1954,1879,0,75
f,Science and Research,Education_School,NSresistance_persecuted,Wedding,"Bronze, Messing, Kupfer",other,KZ or NS_capture,0,1877,1997,-1877
m,History,Military_Police,no_specific_context,Tiergarten,Stein,no_information,no_information,1871,0,0,1871
f,History,Socialists,NSresistance_persecuted,Mitte,Metall_Stahl,no_information,KZ or NS_capture,1944,0,0,1944
f,Culture,Creative_Arts,NSresistance_persecuted,Hansaviertel,Acrylglas,other,KZ or NS_capture,1942,1924,0,18
f,History,PublicPlaces_Buildings,no_specific_context,Mitte,other,Berlin,Berlin,1929,1864,1995,65
m,Culture,Creative_Arts,no_specific_context,Mitte,Porzellan,other,Berlin,1975,1901,1995,74
m,Religion and Philosophy,Christian_Church,other,Mitte,Porzellan,Berlin,Berlin,1767,1707,1994,60
m,Science and Research,Science_otherResearch,no_specific_context,Mitte,Porzellan,other,Berlin,1817,1743,1995,74
m,History,Politics_Administration,Prussian_times,Mitte,"Bronze, Messing, Kupfer",other,other in Germany,1831,1757,0,74
