id;was;wer;geburtsdatum_und_geburtsort;sterbedatum_und_sterbeort;postleitzahl;strasse;hausnummer;standort;ortsteil;erstellt;art;foto_1;foto_2;foto_3;foto_4;tafeltext
512;;"Marlene Dietrich; Schauspielerin und Sängerin; NS-Gegnerin";27.12.1901, Schöneberg;06.05.1992, Paris;10785;Eichhornstraße;5 bis 6;Eichhornstraße Ecke Alte Potsdamer Straße, Marlene-Dietrichplatz vor dem Theater;Tiergarten;2000;Metalltafel mit schwarzer Inschrift;/ba-mitte/_assets/gedenktafeln/id-512_marlene-dietrich.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-512_marlene-dietrich.pdf
514;;"Otto Braun; Politiker; preußischer Ministerpräsident";28.01.1872, Königsberg;15.12.1955, Schweiz;10785;Potsdamer Straße;35;Staatsbibliothek, vor dem Otto-Braun-Saal;Tiergarten;;Kupfertafel mit schwarzer Inschrift;;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-514_braun-otto.pdf
4;;"Johannes Popitz; Politiker; Staatssekretär im Reichsfinanzministerium; NS-Widerstandskämpfer";02.12.1884, Leipzig;02.02.1945, Plötzensee;10117;Am Festungsgraben;1;Zwischen dem 2. und 3. Fenster links;Mitte;19.07.1994;KPM - Berliner Gedenktafel;/ba-mitte/_assets/gedenktafeln/id-4_johannes-popitz.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-4_popitz.pdf
517;;"Kurt Tucholsky; Journalist und Schriftsteller";09.01.1890, Berlin;21.12.1935, Hindas, Schweden;10553;Rostocker Straße;32 b;Vorraum zur Bücherei;Moabit;;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-517_tucholsky-kurt.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-517_tucholsky.pdf
6;;"Wilhelm Krützfeld; preußischer Polizeibeamter";09.12.1880, Hornsdorf;31.10.1953, Berlin;10178;Oranienburger Straße;30;Synagoge, zwischen 2 Fenstern, rechts der Synagoge;Mitte;05.05.1995;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-6_kruetzfeld-wilhelm.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-6_kruetzfeld-wilhelm.pdf
518;;"Kurt Tucholsky; Journalist und Schriftsteller";09.01.1890, Berlin;21.12.1935, Hindas, Schweden;10559;Lübecker Straße;13;Rechts vom Eingang (Geburtshaus);Moabit;;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-518_tucholsky-kurt.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-518_tucholsky.pdf
774;;"Carl Langhammer; Maler; VBK";26.07.1868, Berlin;1943, Berlin;10785;Schöneberger Ufer;57;Linker Vorgarten am Bürgersteig;Tiergarten;01.06.2007;Metalltafel mit schwarzer Inschrift;/ba-mitte/_assets/gedenktafeln/id-774_carl-langhammer.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-774_carl-langhammer.pdf
263;;"Ludwig Ferdinand Meyer, Prof. Dr. med.; jüdischer Kinderarzt";23.05.1879, Wiesbaden;1954, Jerusalem/Tel Aviv;13347;Reinickendorfer Straße;61;Haus 15, links neben dem Eingang des Verwaltungsgebäudes;Wedding;;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-263_ludwig-ferdinand-meyer.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-263_ludwig-ferdinand-meyer.pdf
519;;"Clara Grunwald; Lehrerin und Reformpädagogin; Gründerin von Montessori-Kinderheimen; NS-Verfolgte";11.06.1877, Mönchengladbach;04.1943, KZ Auschwitz-Birkenau;13347;Ruheplatzstraße;13;Ruheplatzstraße Ecke Schulstraße, links vom Eingang, Jugendamt;Wedding;31.10.1997;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-519_clara-grunwald.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-519_clara-grunwald.pdf
775;;"Constantin von Doppelmair (Doppelmeyer); russischer Militärattachè";unbekannt;27.10.1871;10787;Gartenufer am Landwehrkanal;;Am Weg, Zaun zum Zoo;Tiergarten;1872;Steinmedaillon;/ba-mitte/_assets/gedenktafeln/id-775_constatin-von-doppelmair.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-775_doppelmair.pdf
265;;"Krystana Janewa; bulgarische Kommunistin und NS-Widerstandskämpferin";30.10.1914;23.10.1944, Zuchthaus Halle/Saale;10117;Albrechtstraße;14;Zwischen dem 2. und 3. Fenster links;Mitte;1977;Metalltafel;/ba-mitte/_assets/gedenktafeln/id-265_krystana-iwanova-janewa.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-265_janewa.pdf
521;;"Selma Meerbaum-Eisinger; deutschsprachige jüdisch-ukrainische Dichterin";05.02.1924, Czernowitz, Ukraine;16.12.1942, Ukraine;10555;Siegmunds Hof;20;Im Meerbaumhaus;Hansaviertel;Mrz 87;2 Acrylglastafeln;/ba-mitte/_assets/gedenktafeln/id-521_selma-meerbaum-eisinger.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-521-selma-meerbaum.pdf
10;;"Bona Peiser;  Erste deutsche Bibliothekarin";26.04.1864, Berlin;17.03.1929, Berlin;10179;Rungestraße;25 bis 27;Zwischen dem 5. und 6. Fenster links der Einfahrt;Mitte;10.09.1995;Eisengusstafel;/ba-mitte/_assets/gedenktafeln/id-10_bona-peiser.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-10_bona-peiser.pdf
11;;"Walter Felsenstein; Regisseur; Gründer und Intendant der Komischen Oper";30.05.1901, Wien;08.10.1975, Berlin;10117;Behrenstraße;55 bis 57;Pfeiler am Eingang Komische Oper;Mitte;08.10.1995;KPM - Berliner Gedenktafel;/ba-mitte/_assets/gedenktafeln/id-11_walter-felsenstein.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-11_felsenstein-walter.pdf
12;;"Johann Peter Süßmilch; evangelischer Theologe, Statistiker und Demograph";03.09.1707, Berlin-Zehlendorf;22.03.1767, Berlin;10178;Brüderstraße;10;Zur Zeit im Haus. Noch nicht wieder angebracht;Mitte;18.10.1994;KPM - Berliner Gedenktafel;/ba-mitte/_assets/gedenktafeln/id-12_johann-peter-suessmilch.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-12_suessmilch-johann-peter.pdf
13;;"Martin Heinrich Klaproth; Apotheker und Chemiker; Entdecker des Elements Uran";01.12.1743, Wernigerode;01.01.1817, Berlin;10178;Spandauer Straße;25;Spandauer Straße Ecke Probststraße, Hofseite / Fassade zum Nikolaikirchplatz;Mitte;15.12.1995;KPM - Berliner Gedenktafel;/ba-mitte/_assets/gedenktafeln/id-13_klaproth-martin-heinrich.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-13_klaproth.pdf
269;;"Karl Reichsfreiherr vom und zum Stein; preußischer Reformer";26.10.1757, Nassau;29.06.1831, Cappenburg, Westfalen;10117;Am Festungsgraben;1;Zwischen dem 2. und 3. Fenster rechts;Mitte;;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-269_stein-vom-und-zum.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-269_stein.pdf
525;;"Max Josef Metzger; katholischer Priester; Pazifist; NS-Widerstandskämpfer; Förderer der Sprache Esperanto";03.02.1887, Schopfheim;17.04.1944, Zuchthaus Brandenburg;13353;Willdenowstraße;8;St. Josephskirche, links vom Eingang, zwischen dem 3. und 4. Fenster;Wedding;1994;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-525_max-josef-metzger.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-525_metzger.pdf
14;;"Heinrich Runge; Heraldiker; Revolutionsteilnehmer; Berliner Stadtkämmerer";15.12.1817, Zehdenick;26.11.1886, Berlin;10179;Köpenicker Straße;92;Zwischen dem 2. und 3. Fenster rechts vom Eingang;Mitte;19.01.1996;KPM - Berliner Gedenktafel;/ba-mitte/_assets/gedenktafeln/id-14_runge-heinrich.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-14_runge.pdf
16;;"Johann Ernst Gotzkowsky; Unternehmer, Kunsthändler und Begründer der späteren KPM";21.11.1710, Chojnice, Polen;09.08.1775, Berlin;10178;Brüderstraße;13;Links vom Eingang;Mitte;10.05.1996;KPM - Berliner Gedenktafel;/ba-mitte/_assets/gedenktafeln/id-16_johann-georg-gotzkowsky.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-16_gotzkowsky.pdf
17;;"Louis Lewin; Arzt und Pharmakologe; Pionier der Gewerbetoxiologie und Suchtmittelforschung";09.11.1850, Tuchola, Polen;01.12.1929, Berlin;10117;Ziegelstraße;5 bis 9;Zwischen dem 3. und 4. Fenster vom rechts;Mitte;08.11.1996;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-17_louis-lewin.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-17_louis-lewin.pdf
274;;"Theodor Leipart; Drechsler; Vorsitzender des Allgemeinen Deutschen Gewerkschaftsbundes";17.05.1867, Neubrandenburg;23.03.1947, Berlin;10179;Am Köllnischen Park;2;Links neben dem Haupteingang;Mitte;10.04.1997;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-274_leipart-theodor.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-274_leipart.pdf
275;;"Eduard Hildebrandt; Maler; Königlich Preußischer Hofmaler";09.09.1817, Danzig;25.10.1868, Berlin;10117;Am Kupfergraben;6a;Zwischen dem 3. und 4. Fenster im 1. Stockwerk;Mitte;;Marmortafel mit vergoldeter Inschrift;/ba-mitte/_assets/gedenktafeln/id-275_eduard-hildebrand.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-275_eduard-hildebrand.pdf
277;;"Emil Frommel; evangelischer Theologe; Schriftsteller; Hofprediger; Militäroberpfarrer";05.01.1828, Karlsruhe;09.11.1898, Plön;10178;Anna-Louisa-Karsch-Straße;9;Hoch über der Haustür;Mitte;;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-277_frommel-emil.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-277_frommel.pdf
22;;"August Boeckh; Philologe und Altertumsforscher; Universitätsprofessor";24.11.1785, Karlsruhe;03.08.1867, Berlin;10117;Dorotheenstraße;65;Mit Medaillon eines Reliefportraits links vom Eingang;Mitte;24.11.1997;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-22_boeckh-august.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-22_boeckh-august.pdf
278;;"Ewald Vogt; Maschinenschlosser; Funktionär der KPD; Betriebsrat im Walzwerk Hennigsdorf; NS-Verfolgter";21.08.1905;21.08.1933;10115;Anklamer Straße;5;Zwischen dem 3. und 4. Fenster links vom Eingang;Mitte;1972;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-278_vogt-ewald.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-278_ewald-vogt.pdf
23;;"Sören Kiekegaard; dänischer Philosoph und Theologe";05.05.1813, Kopenhagen, Dänemark;11.11.1855, Kopenhagen;10117;Jägerstraße;57;Jägerstraße Ecke Charlottenstraße 54, Hausfront zwischen 2 Fenster;Mitte;25.11.1997;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-23_kierkegaard-soeren.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-23_kierkegaard-soeren.pdf
